id;name;created_at;created_by;updated_at;updated_by
1;Istanbul;2023-01-01 10:00:00.000000;system;2023-01-01 12:00:00.000000;system
2;Ankara;2023-01-02 10:00:00.000000;system;2023-01-02 12:00:00.000000;system
3;Izmir;2023-01-03 10:00:00.000000;system;2023-01-03 12:00:00.000000;system
4;Bursa;2023-01-04 10:00:00.000000;system;2023-01-04 12:00:00.000000;system
5;Antalya;2023-01-05 10:00:00.000000;system;2023-01-05 12:00:00.000000;system
6;Adana;2023-01-06 10:00:00.000000;system;2023-01-06 12:00:00.000000;system
7;Gaziantep;2023-01-07 10:00:00.000000;system;2023-01-07 12:00:00.000000;system
8;Konya;2023-01-08 10:00:00.000000;system;2023-01-08 12:00:00.000000;system
9;Kayseri;2023-01-09 10:00:00.000000;system;2023-01-09 12:00:00.000000;system
10;Mersin;2023-01-10 10:00:00.000000;system;2023-01-10 12:00:00.000000;system
11;Eskisehir;2023-01-11 10:00:00.000000;system;2023-01-11 12:00:00.000000;system
12;Diyarbakir;2023-01-12 10:00:00.000000;system;2023-01-12 12:00:00.000000;system
13;Samsun;2023-01-13 10:00:00.000000;system;2023-01-13 12:00:00.000000;system
14;Denizli;2023-01-14 10:00:00.000000;system;2023-01-14 12:00:00.000000;system
15;Sanliurfa;2023-01-15 10:00:00.000000;system;2023-01-15 12:00:00.000000;system
16;Malatya;2023-01-16 10:00:00.000000;system;2023-01-16 12:00:00.000000;system
17;Kahramanmaras;2023-01-17 10:00:00.000000;system;2023-01-17 12:00:00.000000;system
18;Erzurum;2023-01-18 10:00:00.000000;system;2023-01-18 12:00:00.000000;system
19;Van;2023-01-19 10:00:00.000000;system;2023-01-19 12:00:00.000000;system
20;Batman;2023-01-20 10:00:00.000000;system;2023-01-20 12:00:00.000000;system
21;Balikesir;2023-01-21 10:00:00.000000;system;2023-01-21 12:00:00.000000;system
22;Sivas;2023-01-22 10:00:00.000000;system;2023-01-22 12:00:00.000000;system
23;Tekirdag;2023-01-23 10:00:00.000000;system;2023-01-23 12:00:00.000000;system
24;Tokat;2023-01-24 10:00:00.000000;system;2023-01-24 12:00:00.000000;system
25;Zonguldak;2023-01-25 10:00:00.000000;system;2023-01-25 12:00:00.000000;system
