id;locale;code;content;created_at;created_by;updated_at;updated_by
1;tr;error.mediaType.notAcceptable;İstenilen medya tipi kabul edilemez.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
2;en;error.mediaType.notAcceptable;Requested media type is not acceptable.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
3;tr;error.mediaType.notSupported;İstenilen medya tipi desteklenmiyor.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
4;en;error.mediaType.notSupported;Requested media type is not supported.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
5;tr;error.requestMethod.notSupported;İstenilen HTTP yöntemi desteklenmiyor.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
6;en;error.requestMethod.notSupported;Requested HTTP method is not supported.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
7;tr;error.messageNotReadable;İstek mesajı okunamadı. Lütfen formatı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
8;en;error.messageNotReadable;The request message could not be read. Please check the format and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
9;tr;error.typeMismatch;İstek parametresi yanlış türde. Lütfen formatı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
10;en;error.typeMismatch;The request parameter is of the wrong type. Please check the format and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
11;tr;error.missingParameter;İstek parametresi '{paramName}' eksik. Lütfen gerekli parametreyi sağlayıp tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
12;en;error.missingParameter;The request parameter '{paramName}' is missing. Please provide the required parameter and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
13;tr;error.missingPart;İstek parçası '{partName}' eksik. Lütfen gerekli parçayı sağlayıp tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
14;en;error.missingPart;The request part '{partName}' is missing. Please provide the required part and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
15;tr;error.requestBindingError;İstek işleme işleminde bir hata oluştu. Lütfen girdileri kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
16;en;error.requestBindingError;There was an error binding the request. Please check the input and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
17;tr;error.multipartError;Çok parçalı isteği işlerken bir hata oluştu. Lütfen dosyayı kontrol edip tekrar deneyin.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
18;en;error.multipartError;There was an error processing the multipart request. Please check the file and try again.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
19;tr;error.validation;Doğrulama hatası oluştu.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
20;en;error.validation;Validation error occurred.;2024-01-01T00:00:00;system;2024-01-01T00:00:00;system
